Week_Start_Date,Party,Spend_USD
2021-07-18,Democratic,208600
2021-07-18,Other,638500
2021-07-18,Republican,639200
2021-07-25,Republican,680200
2021-07-25,Other,762700
2021-07-25,Democratic,87000
2021-08-01,Democratic,145900
2021-08-01,Other,729300
2021-08-01,Republican,347500
2021-08-08,Democratic,140100
2021-08-08,Other,877300
2021-08-08,Republican,517300
2021-08-15,Republican,739800
2021-08-15,Other,1178000
2021-08-15,Democratic,66300
2021-08-22,Democratic,59400
2021-08-22,Other,1619700
2021-08-22,Republican,1024700
2021-08-29,Democratic,148500
2021-08-29,Other,1662900
2021-08-29,Republican,1015600
2021-09-05,Republican,1265600
2021-09-05,Other,1861600
2021-09-05,Democratic,103400
2021-09-12,Democratic,68600
2021-09-12,Other,1802400
2021-09-12,Republican,596300
2021-09-19,Democratic,51200
2021-09-19,Other,2015000
2021-09-19,Republican,279600
2021-09-26,Democratic,107300
2021-09-26,Other,1836700
2021-09-26,Republican,471000
2021-10-03,Democratic,149700
2021-10-03,Other,1765800
2021-10-03,Republican,575700
2021-10-10,Other,1947100
2021-10-10,Republican,406900
2021-10-10,Democratic,103600
2021-10-17,Democratic,108200
2021-10-17,Other,2457100
2021-10-17,Republican,224900
2021-10-24,Democratic,125400
2021-10-24,Other,4140700
2021-10-24,Republican,171900
2021-10-31,Other,2733700
2021-10-31,Democratic,92600
2021-10-31,Republican,179900
2021-11-07,Democratic,51600
2021-11-07,Other,898000
2021-11-07,Republican,285400
2021-11-14,Other,962400
2021-11-14,Republican,257400
2021-11-14,Democratic,87700
2021-11-21,Republican,240400
2021-11-21,Other,859700
2021-11-21,Democratic,84400
2021-11-28,Democratic,92900
2021-11-28,Other,822800
2021-11-28,Republican,222400
2021-12-05,Democratic,91300
2021-12-05,Other,891000
2021-12-05,Republican,134300
2021-12-12,Democratic,68300
2021-12-12,Other,1092900
2021-12-12,Republican,131700
2021-12-19,Democratic,66100
2021-12-19,Other,1030100
2021-12-19,Republican,188800
2021-12-26,Other,961300
2021-12-26,Republican,209000
2021-12-26,Democratic,62300
2022-01-02,Democratic,75900
2022-01-02,Other,972200
2022-01-02,Republican,314000
2022-01-09,Democratic,122500
2022-01-09,Other,1003600
2022-01-09,Republican,445200
2022-01-16,Other,1194200
2022-01-16,Democratic,150300
2022-01-16,Republican,400600
2022-01-23,Democratic,130600
2022-01-23,Other,1557600
2022-01-23,Republican,324800
2022-01-30,Other,1132500
2022-01-30,Republican,290300
2022-01-30,Democratic,153100
2022-02-06,Other,1154300
2022-02-06,Republican,209000
2022-02-06,Democratic,113200
2022-02-13,Other,1314800
2022-02-13,Republican,168100
2022-02-13,Democratic,128400
2022-02-20,Other,1459500
2022-02-20,Republican,170100
2022-02-20,Democratic,115200
2022-02-27,Other,1382200
2022-02-27,Republican,173900
2022-02-27,Democratic,126700
2022-03-06,Democratic,121300
2022-03-06,Other,1153800
2022-03-06,Republican,167200
2022-03-13,Democratic,104000
2022-03-13,Other,1629200
2022-03-13,Republican,70700
2022-03-20,Republican,45100
2022-03-20,Other,1841100
2022-03-20,Democratic,140300
2022-03-27,Democratic,152600
2022-03-27,Other,1860600
2022-03-27,Republican,56700
2022-04-03,Democratic,164900
2022-04-03,Other,1890400
2022-04-03,Republican,57600
2022-04-10,Republican,48700
2022-04-10,Other,2104000
2022-04-10,Democratic,150600
2022-04-17,Democratic,95800
2022-04-17,Other,2436900
2022-04-17,Republican,34600
2022-04-24,Democratic,117800
2022-04-24,Other,2813500
2022-04-24,Republican,23400
2022-05-01,Republican,29100
2022-05-01,Other,2997500
2022-05-01,Democratic,167800
2022-05-08,Democratic,147800
2022-05-08,Other,3583100
2022-05-08,Republican,35700
2022-05-15,Democratic,107000
2022-05-15,Other,4197500
2022-05-15,Republican,73900
2022-05-22,Republican,135800
2022-05-22,Other,3977200
2022-05-22,Democratic,108500
2022-05-29,Democratic,89900
2022-05-29,Other,4257700
2022-05-29,Republican,138000
2022-06-05,Democratic,81100
2022-06-05,Other,4086300
